1,ოუფენჰუბ მენეჯმენთ სერვისის  | 08.GE , თბილისი / (ვაკე) ნუცუბიძე შალვას ქ. -129ა ,406156449, დროებით მიუწვდომელია , chenmalka1219@gmail.com ,  ,  ," საბროკერო, საშუამავლო მომსახურება "," ჩენ მალკა, ნადავ გოვერი ", შ.პ.ს , ოუფენჰუბ მენეჯმენთ სერვისის ,  , https://www.08.ge/organizations/view/12336800
2,ოქროს კიდობანი  | 08.GE , თბილისი / (დიდუბე) ცაბაძე გიორგის ქ. -8ბ ,402009508,995322430702, oqroskidobani@gmail.com ,  , www.facebook.com/oqroskidobani ," სავაჭრო ცენტრი, საიუველირო ნივთებით ვაჭრობა, ფართის იჯარა ", მუხრანი ბაგრატიონი , შ.პ.ს , ოქროს კიდობანი ,995322430701, https://www.08.ge/organizations/view/12336788
3,ინ ვოგი  | 08.GE , თბილისი / (ჩუღურეთი) ჩხეიძე ნინოს ქ. -27 ,402029997,995574344422, invogue.tbilisi@gmail.com ,  , www.facebook.com/invoguetbilisi ," მანიკური, სილამაზის სალონი ", მარია ვოსკანიანი , შ.პ.ს , ინ ვოგი ,995322967571, https://www.08.ge/organizations/view/12336787
4,სამედიცინო დახმარების ხარისხის მართვისა და მონიტორინგის ცენტრი  | 08.GE , გორი /  ცხინვალის გზატ. -14ა ,417889360,995577935013, xarisxismartva2015@gmail.com ,  ,  , მონიტორინგი , ვლადიმერი კეპულაძე , შ.პ.ს , სამედიცინო დახმარების ხარისხის მართვისა და მონიტორინგის ცენტრი ,  , https://www.08.ge/organizations/view/12336784
5,ბოლნისის აზერბაიჯანული კულტურული ცენტრი  | 08.GE , ბოლნისი /  მუშევანი სოფელი ,425361538,995551192185, alixan.yahya.1951@mail.ru ,  ,  , კულტურის ცენტრი , ალიხან მამედოვი , ა.ა.ი.პ , ბოლნისის აზერბაიჯანული კულტურული ცენტრი ,  , https://www.08.ge/organizations/view/12336781
6,ნიკე სტუდიო  | 08.GE , თბილისი / (საბურთალო) ვაჟა ფშაველას გამზ. -26 ბ.107 ,205261170,995322390664, rchkonia@gmail.com ,  ,  , კინოსტუდია , რუსუდან ჭყონია , შ.პ.ს , ნიკე სტუდიო ,  , https://www.08.ge/organizations/view/12336771
7,ლორდი  | 08.GE , თბილისი / (ისანი) მეველის ქ. -21 ,424069643,995599041929, shpslordi@mail.ru ,  ,  , იმპორტი , ოლეგი ძოწენიძე , შ.პ.ს , ლორდი ,  , https://www.08.ge/organizations/view/12336776
8,პე ეს პე - აფთიაქი N88  | 08.GE , თბილისი / (ვაკე) აბაშიძე ირაკლის ქ. -41 ,202203123,995511170088, info@psp.ge , www.psp.ge , www.facebook.com/psp.ge , აფთიაქი , არ მოიძებნა , შ.პ.ს , პე ეს პე - აფთიაქი N88 ,995322402020, https://www.08.ge/organizations/view/12336761
9,ქი ფროჯექთსი  | 08.GE , თბილისი / (დიდუბე) დავით აღმაშენებელის გამზ. -164 ,400113248,995599513069, temuri.ponia@gmail.com ,  ,  ," ვებ-გვერდების დამზადება, კომპიუტერული მომსახურება ", თემურ ფონია , შ.პ.ს , ქი ფროჯექთსი ,  , https://www.08.ge/organizations/view/12336759
10,რითეილ თრეიდ ჯორჯია  | 08.GE , თბილისი / (ჩუღურეთი) ვაგზლის (სადგურის) მოედანი ,405126279, დროებით მიუწვდომელია , georgia_office@fix-geo.com ,  , www.facebook.com/georgia.fixprice ," კვების პროდუქტები, სამეურნეო და საყოფაცხოვრებო ნივთები ", ევგენი ვასილევი , შ.პ.ს , რითეილ თრეიდ ჯორჯია ,  , https://www.08.ge/organizations/view/12336753
11,მოდერნ 2016  | 08.GE , რუსთავი /  16 მ/რ -მიმდებარე ტერიტორია ,405133804, დროებით მიუწვდომელია ,  ,  ,  , მარკეტი , მერაბ ვასაძე , შ.პ.ს , მოდერნ 2016 ,  , https://www.08.ge/organizations/view/12336750
12,აგროუნივერსალი  | 08.GE , გურჯაანი /  სანაპიროს ქ. ,427721478,995593575731, lshankulashvili@mail.ru ,  ,  ," სასუქის რეალიზაცია, შხამქიმიკატების მაღაზია ", ვაჟა შანყულაშვილი , შ.პ.ს , აგროუნივერსალი ,  , https://www.08.ge/organizations/view/12336749
13,ზიგი  | 08.GE , თბილისი / (ვაკე) ჭავჭავაძე ილიას გამზ. -49დ ,404491821, დროებით მიუწვდომელია , info@zigie.com , www.zigie.ge , www.facebook.com/LiebherrInGeorgia ," ელექტროტექნიკის იმპორტი, საყოფაცხოვრებო ტექნიკის მაღაზია ", ნინო კომახიძე , შ.პ.ს , ზიგი ,  , https://www.08.ge/organizations/view/12336746
14,აგროვეტი  | 08.GE , ბათუმი / (აეროპორტი) ხალვაში ფრიდონის გამზ. მე-2 ჩიხი ,445479358,995557422336, murmanidze1987@mail.ru ,  ,  ," მცენარეთა დაცვის საშუალებები, შხამქიმიკატების მაღაზია ", მაია ვაშაყმაძე , შ.პ.ს , აგროვეტი ,  , https://www.08.ge/organizations/view/12336748
